"id","success","big_hit","backers_count"
2365332,"NO","NO",3
2421377,"NO","NO",1
2504670,"YES","NO",26
2519601,"NO","NO",0
2569819,"NO","NO",1
2595797,"YES","NO",131
2614753,"NO","NO",2
2620949,"NO","NO",8
2623100,"YES","NO",21
2690517,"NO","NO",21
2708281,"NO","NO",29
2732493,"NO","NO",134
2748907,"YES","NO",43
2771803,"YES","NO",114
2780648,"NO","NO",11
2834845,"NO","NO",14
2838865,"NO","NO",1
2876478,"NO","NO",14
2884232,"YES","NO",11
2900194,"NO","NO",61
2924145,"NO","NO",4
2991180,"YES","NO",16
2996440,"YES","YES",23
3017498,"NO","NO",0
3029274,"NO","NO",5
3029682,"NO","NO",10
3054987,"YES","NO",162
3071888,"YES","NO",76
3084853,"NO","NO",16
3088735,"NO","NO",0
3102515,"YES","NO",50
3109665,"YES","NO",67
3144961,"YES","NO",116
3176744,"NO","NO",42
3193940,"YES","NO",116
3199583,"YES","NO",295
3204323,"NO","NO",5
3237618,"YES","NO",19
3264395,"NO","NO",24
3275371,"NO","NO",7
3287114,"NO","NO",9
3326507,"YES","YES",270
3329555,"YES","NO",59
3358085,"NO","NO",7
3377676,"NO","NO",4
3379046,"NO","NO",6
3383696,"NO","NO",23
3409175,"YES","NO",28
3426944,"NO","NO",1
3442045,"NO","NO",3
3451801,"NO","NO",6
3467900,"YES","NO",45
3475775,"YES","NO",22
3476905,"NO","NO",2
3498252,"NO","NO",17
3511719,"YES","NO",71
3564025,"NO","NO",0
3584870,"NO","NO",0
3600640,"YES","NO",28
3610014,"YES","NO",246
3642429,"YES","NO",43
3656699,"NO","NO",0
3688546,"NO","NO",16
3702708,"YES","NO",244
3714968,"NO","NO",4
3752289,"NO","NO",5
3754001,"YES","YES",192
3777457,"NO","NO",0
3786327,"NO","NO",12
3797038,"NO","NO",3
3798301,"NO","NO",10
3799926,"YES","NO",31
3834172,"NO","NO",3
3850595,"NO","NO",12
3863251,"YES","NO",35
3875543,"NO","NO",86
3885440,"YES","NO",62
3905784,"YES","NO",206
3906809,"NO","NO",13
3922328,"NO","NO",5
3936666,"NO","NO",1
3968895,"YES","YES",4887
3981000,"NO","NO",1
4006477,"NO","NO",0
4055457,"NO","NO",107
4060404,"YES","YES",69
4070527,"NO","NO",0
4072482,"YES","NO",12
4081406,"NO","NO",9
4092998,"YES","YES",832
4124807,"YES","NO",170
4134990,"NO","NO",4
4145953,"YES","YES",58
4173934,"NO","NO",0
4196714,"NO","NO",0
4219041,"NO","NO",14
4221775,"YES","NO",78
4278157,"NO","NO",0
4282825,"NO","NO",6
4289973,"YES","NO",358
4302721,"NO","NO",1
4304759,"YES","NO",693
4326268,"YES","YES",120
4343105,"YES","NO",19
4433511,"NO","NO",3
4436318,"NO","NO",2
4458039,"NO","NO",2
4459107,"YES","NO",24
4467110,"YES","YES",37
4479874,"NO","NO",89
4506510,"NO","NO",1
4537952,"NO","NO",110
4555597,"YES","NO",23
4573394,"NO","NO",6
4578294,"YES","NO",17
4593643,"NO","NO",21
4614388,"NO","NO",6
4622701,"NO","NO",15
4631360,"YES","NO",15
4673615,"NO","NO",11
4675246,"YES","NO",14
4684967,"YES","NO",25
4690123,"NO","NO",86
4715477,"NO","NO",9
4722839,"NO","NO",7
4759690,"NO","NO",5
4786976,"NO","NO",1
4788986,"NO","NO",5
4790835,"NO","NO",11
4802025,"NO","NO",11
4813810,"NO","NO",4
4875708,"NO","NO",18
4928727,"NO","NO",4
4928753,"YES","NO",160
4936851,"NO","NO",6
4947903,"NO","NO",4
4950966,"NO","NO",1
4953547,"YES","NO",14
4997151,"NO","NO",1
5031158,"NO","NO",9
5066468,"NO","NO",7
5082851,"YES","NO",91
5162335,"YES","NO",185
5270009,"YES","YES",24
5277823,"NO","NO",6
5287714,"NO","NO",12
5289054,"NO","NO",7
5313753,"NO","NO",7
5322048,"NO","NO",15
5353475,"YES","NO",1144
5374422,"YES","NO",235
5405334,"NO","NO",7
5416655,"NO","NO",2
5451541,"YES","NO",88
5477666,"NO","NO",1
5527232,"YES","NO",36
5564448,"YES","NO",48
5568224,"NO","NO",8
5588315,"YES","NO",29
5589873,"NO","NO",1
5640550,"YES","YES",133
5685254,"NO","NO",5
5696950,"NO","NO",1
5709416,"YES","YES",13
5754034,"YES","NO",51
5757943,"YES","NO",19
5818055,"YES","YES",212
5833444,"YES","YES",347
5847008,"YES","NO",15
5879346,"YES","NO",278
5887050,"NO","NO",1
5916690,"YES","YES",2318
5925947,"YES","YES",471
5933081,"YES","YES",10
5956177,"NO","NO",1
5959922,"NO","NO",158
5977685,"NO","NO",5
5996936,"YES","NO",604
6012727,"NO","NO",0
6051741,"NO","NO",2
6072911,"YES","YES",76
6081847,"YES","YES",97
6148319,"NO","NO",1
6175948,"NO","NO",4
6212390,"NO","NO",22
6228278,"NO","NO",0
6229009,"NO","NO",33
6232273,"NO","NO",1
6236247,"NO","NO",1
6254022,"NO","NO",9
6256201,"NO","NO",1
6296368,"NO","NO",11
6323151,"NO","NO",8
6400870,"NO","NO",1
6418733,"YES","NO",230
6457893,"NO","NO",7
6486540,"NO","NO",0
6489818,"YES","NO",12
6513266,"NO","NO",15
6557033,"YES","NO",152
6562811,"YES","NO",170
6578486,"YES","NO",23
6613146,"NO","NO",0
6617805,"NO","NO",21
6621696,"NO","NO",13
6705455,"NO","NO",0
6788154,"YES","YES",159
6872440,"YES","YES",39
6880081,"NO","NO",6
6917383,"YES","NO",56
6919141,"NO","NO",510
6925544,"YES","YES",1623
6943715,"NO","NO",37
6963528,"NO","NO",64
6972706,"NO","NO",6
7022380,"YES","YES",1509
7028836,"NO","NO",1
7031757,"YES","NO",66
7037430,"YES","NO",78
7061835,"NO","NO",1
7073318,"YES","YES",30
7162701,"NO","NO",18
7184840,"YES","NO",13
7187085,"YES","NO",37
7226145,"NO","NO",1
7258701,"NO","NO",29
7281160,"YES","NO",411
7331488,"NO","NO",10
7335646,"NO","NO",12
7368875,"YES","NO",15
7388788,"YES","NO",528
7407528,"NO","NO",0
7444774,"NO","NO",7
7483689,"YES","YES",205
7498734,"NO","NO",7
7508561,"NO","NO",15
7523084,"NO","NO",0
7536631,"NO","NO",1
7617561,"YES","NO",729
7621774,"YES","YES",3861
7681850,"YES","YES",272
7711854,"NO","NO",3
7726715,"YES","NO",40
7729941,"NO","NO",2
7745495,"YES","YES",159
7751617,"YES","NO",11
7754286,"NO","NO",34
7760006,"NO","NO",0
7848163,"YES","NO",10
7852130,"YES","NO",83
7853705,"NO","NO",20
7874511,"YES","YES",3221
7902460,"YES","NO",72
7929034,"NO","NO",4
7965283,"YES","YES",30
7969252,"YES","NO",18
7996191,"NO","NO",9
8006600,"NO","NO",1
8025900,"NO","NO",12
8034659,"NO","NO",4
8043165,"YES","NO",15
8052180,"YES","YES",285
8056131,"YES","NO",112
8057311,"YES","NO",66
8099384,"NO","NO",1
8130152,"NO","NO",66
8158788,"NO","NO",1
8160651,"YES","NO",108
8172529,"NO","NO",0
8297091,"NO","NO",0
8333251,"NO","NO",0
8388418,"YES","NO",47
8403826,"NO","NO",18
8424340,"NO","NO",1
8444295,"YES","NO",68
8445205,"YES","NO",144
8451089,"YES","NO",18
8453301,"NO","NO",16
8486383,"NO","NO",10
8509829,"YES","NO",29
8521226,"NO","NO",0
8540863,"YES","NO",53
8643959,"NO","NO",5
8660923,"YES","NO",124
8664637,"NO","NO",3
8668934,"YES","YES",51
8684714,"NO","NO",4
8702658,"YES","NO",53
8737000,"YES","YES",86
8743237,"YES","NO",63
8747999,"YES","NO",81
8759288,"YES","NO",5
8802892,"YES","NO",78
8815575,"NO","NO",2
8823620,"NO","NO",227
8853616,"NO","NO",9
8899860,"NO","NO",15
8923343,"YES","NO",23
8924548,"NO","NO",3
8928061,"YES","NO",52
8944821,"NO","NO",99
8969507,"NO","NO",1
9000801,"NO","NO",9
9050511,"YES","NO",180
9052613,"NO","NO",4
9063108,"NO","NO",1
9112030,"YES","NO",70
9116119,"NO","NO",7
9120099,"NO","NO",0
9148065,"NO","NO",8
9153743,"NO","NO",5
9156425,"YES","NO",130
9159642,"NO","NO",26
9169223,"NO","NO",1
9210022,"NO","NO",8
9233394,"YES","YES",252
9246141,"YES","NO",116
9251220,"NO","NO",0
9311697,"NO","NO",6
9386874,"YES","NO",171
9421738,"YES","NO",22
9425821,"NO","NO",3
9427445,"YES","YES",43
9474980,"NO","NO",5
9549455,"NO","NO",66
9558912,"YES","NO",80
9595118,"YES","NO",85
9597051,"YES","NO",44
9600411,"YES","NO",60
9605000,"NO","NO",126
9613199,"YES","NO",120
9629403,"YES","NO",53
9729076,"YES","NO",33
9759123,"YES","NO",177
9807258,"YES","NO",44
9807965,"NO","NO",15
9813153,"NO","NO",27
9814304,"NO","NO",890
9869360,"NO","NO",1
9886551,"NO","NO",0
9951094,"YES","NO",69
9964981,"NO","NO",0
9965876,"NO","NO",29
9993639,"YES","NO",74
10040833,"YES","YES",215
10050058,"NO","NO",0
10052511,"NO","NO",0
10076573,"NO","NO",54
10089293,"YES","NO",66
10089834,"NO","NO",18
10097005,"NO","NO",6
10106921,"YES","NO",26
10109773,"YES","NO",188
10117820,"NO","NO",15
10127972,"NO","NO",3
10153096,"YES","NO",68
10155950,"NO","NO",7
10156784,"NO","NO",2
10173583,"NO","NO",10
10178577,"YES","YES",1193
10205736,"YES","YES",1483
10210001,"YES","YES",217
10212042,"NO","NO",1
10247437,"YES","NO",36
10269635,"NO","NO",7
10270441,"NO","NO",13
10286681,"NO","NO",2
10317886,"YES","YES",104
10327390,"NO","NO",5
10363753,"NO","NO",0
10378150,"YES","NO",34
10428885,"NO","NO",1
10429602,"NO","NO",4
10438513,"YES","NO",149
10442652,"NO","NO",13
10443302,"NO","NO",4
10458188,"YES","NO",25
10509660,"NO","NO",57
10519394,"NO","NO",24
10545318,"YES","NO",88
10556153,"NO","NO",0
10559946,"YES","YES",177
10567713,"NO","NO",11
10586806,"NO","NO",9
10589207,"NO","NO",9
10602672,"YES","NO",57
10612718,"NO","NO",20
10661684,"NO","NO",19
10682249,"NO","NO",24
10722105,"NO","NO",1
10724633,"YES","NO",22
10772847,"NO","NO",52
10773308,"YES","NO",171
10785802,"NO","NO",1
10789551,"YES","NO",297
10792413,"NO","NO",0
10829032,"NO","NO",2
10859083,"NO","NO",2
10863460,"YES","NO",63
10880890,"NO","NO",33
10882206,"YES","YES",742
10913642,"YES","YES",3494
10926123,"NO","NO",7
10930744,"NO","NO",2
10945100,"NO","NO",4
10987305,"NO","NO",6
10990162,"NO","NO",1
10997537,"YES","YES",59
11001159,"NO","NO",2
11012440,"YES","NO",16
11047148,"YES","NO",42
11094495,"YES","NO",23
11095047,"NO","NO",0
11139983,"YES","YES",87
11162987,"NO","NO",1
11201727,"NO","NO",3
11204365,"NO","NO",1
11231385,"NO","NO",32
11242197,"NO","NO",7
11271076,"NO","NO",0
11279263,"YES","NO",49
11316133,"NO","NO",16
11343512,"NO","NO",35
11351013,"YES","YES",68
11376494,"YES","NO",24
11396267,"NO","NO",13
11438037,"NO","NO",0
11516715,"YES","YES",31
11546984,"YES","YES",1642
11602090,"NO","NO",3
11611789,"NO","NO",0
11614984,"NO","NO",25
11660197,"NO","NO",6
11681740,"NO","NO",1
11689061,"YES","NO",57
11700967,"YES","NO",162
11743007,"NO","NO",3
11757734,"NO","NO",16
11805975,"NO","NO",7
11824756,"YES","YES",16
11830237,"NO","NO",2
11856763,"YES","NO",30
11870095,"YES","NO",148
11899406,"NO","NO",9
11907491,"NO","NO",0
11908469,"YES","NO",54
11964132,"NO","NO",7
11967611,"YES","YES",386
11976001,"NO","NO",15
11999643,"NO","NO",3
12004908,"NO","NO",2
12035885,"NO","NO",0
12062404,"NO","NO",2
12090136,"YES","NO",49
12134269,"YES","NO",313
12161356,"NO","NO",0
12164666,"NO","NO",0
12200518,"YES","NO",125
12205180,"NO","NO",2
12216100,"NO","NO",26
12258630,"YES","NO",46
12268189,"NO","NO",28
12283010,"YES","NO",9
12299432,"NO","NO",11
12314356,"NO","NO",4
12373179,"YES","NO",116
12448043,"NO","NO",2
12461901,"NO","NO",20
12467843,"YES","YES",140
12472443,"NO","NO",3
12473865,"NO","NO",12
12500399,"YES","NO",97
12532335,"YES","YES",102
12543023,"NO","NO",12
12550430,"NO","NO",18
12597544,"NO","NO",2
12623757,"NO","NO",1
12625860,"YES","NO",45
12633478,"YES","YES",62
12635700,"NO","NO",2
12674352,"NO","NO",0
12683403,"YES","YES",687
12689715,"NO","NO",2
12690855,"YES","YES",36
12695313,"NO","NO",1
12698515,"YES","NO",385
12704580,"NO","NO",17
12706098,"NO","NO",42
12742403,"NO","NO",6
12767019,"YES","NO",19
12794953,"NO","NO",1
12804210,"YES","YES",28
12852802,"NO","NO",0
12855463,"NO","NO",13
12881505,"NO","NO",1
12942675,"NO","NO",2
12942744,"NO","NO",1
12958264,"NO","NO",15
12987464,"NO","NO",0
12987762,"YES","NO",79
13004652,"NO","NO",7
13068713,"YES","NO",452
13077490,"NO","NO",0
13088371,"NO","NO",8
13123063,"YES","NO",47
13130178,"NO","NO",0
13140935,"YES","NO",608
13143147,"YES","NO",64
13171692,"YES","NO",237
13197185,"YES","NO",293
13203304,"NO","NO",26
13207809,"NO","NO",57
13240115,"YES","NO",42
13283392,"YES","YES",34
13299099,"NO","NO",142
13351449,"YES","NO",140
13370069,"YES","NO",48
13382742,"NO","NO",0
13466532,"NO","NO",6
13492956,"NO","NO",4
13518688,"NO","NO",1
13539350,"YES","NO",116
13545919,"NO","NO",10
13581719,"YES","YES",19
13581898,"NO","NO",9
13599330,"NO","NO",16
13614554,"YES","NO",103
13619749,"NO","NO",92
13627486,"NO","NO",30
13681477,"NO","NO",8
13683919,"YES","NO",24
13692592,"NO","NO",8
13697374,"YES","NO",61
13714457,"NO","NO",75
13746878,"NO","NO",0
13773948,"YES","NO",25
13812988,"YES","YES",57
13842646,"YES","NO",14
13853514,"NO","NO",2
13878580,"NO","NO",1
13886598,"NO","NO",0
13968559,"NO","NO",13
13998036,"NO","NO",9
14014345,"NO","NO",95
14018921,"NO","NO",17
14035777,"YES","NO",56
14040280,"NO","NO",20
14048579,"YES","YES",162
14134979,"YES","NO",23
14157040,"YES","NO",109
14173560,"NO","NO",0
14174183,"NO","NO",14
14215861,"NO","NO",11
14239768,"NO","NO",8
14260439,"YES","YES",203
14293250,"YES","NO",34
14310399,"YES","NO",137
14325760,"NO","NO",2
14331004,"YES","NO",90
14339236,"YES","YES",127
14349072,"YES","YES",730
14361003,"NO","NO",0
14365564,"NO","NO",14
14388664,"NO","NO",1
14402020,"NO","NO",0
14413718,"NO","NO",112
14414864,"YES","NO",141
14444131,"NO","NO",31
14445888,"NO","NO",4
14457377,"NO","NO",0
14467159,"YES","NO",13
14478890,"NO","NO",23
14502796,"NO","NO",2
14535248,"YES","YES",84
14555184,"YES","NO",181
14566444,"YES","NO",3
14584018,"YES","YES",72
14609948,"NO","NO",0
14619458,"YES","NO",74
14630569,"YES","NO",27
14640072,"NO","NO",0
14659819,"NO","NO",1
14660709,"NO","NO",31
14676679,"NO","NO",32
14687113,"YES","NO",31
14742419,"YES","YES",34
14754880,"YES","NO",16
14759036,"NO","NO",2
14799712,"NO","NO",5
14808589,"YES","NO",243
14826489,"NO","NO",5
14827390,"YES","NO",134
14838551,"YES","NO",258
14858372,"YES","YES",171
14859953,"YES","YES",115
14884138,"YES","YES",46
14891897,"NO","NO",31
14914798,"NO","NO",1
14949980,"NO","NO",1
14955739,"NO","NO",0
14965615,"YES","NO",398
14995571,"YES","YES",26
14996683,"NO","NO",214
15056038,"NO","NO",5
15078765,"NO","NO",37
15105760,"YES","NO",47
15115568,"NO","NO",3
15158969,"NO","NO",5
15172968,"YES","NO",46
15200634,"NO","NO",0
15276572,"NO","NO",0
15283998,"NO","NO",13
15324094,"NO","NO",12
15324367,"NO","NO",0
15332886,"YES","NO",68
15368352,"YES","YES",91
15399557,"NO","NO",21
15473142,"YES","NO",47
15496897,"NO","NO",84
15505419,"YES","NO",383
15544849,"NO","NO",49
15559466,"NO","NO",0
15570870,"NO","NO",5
15605666,"NO","NO",2
15662872,"YES","YES",636
15665793,"NO","NO",1
15670718,"NO","NO",1
15684101,"NO","NO",5
15737108,"NO","NO",7
15743362,"NO","NO",6
15764326,"NO","NO",0
15780344,"YES","NO",379
15817472,"NO","NO",24
15827846,"YES","NO",44
15839465,"NO","NO",6
15847426,"NO","NO",11
15854185,"YES","YES",338
15864187,"NO","NO",7
15886732,"YES","NO",155
15902912,"NO","NO",19
15934587,"NO","NO",2
15960768,"NO","NO",9
15962934,"YES","NO",88
16005824,"NO","NO",8
16085645,"YES","YES",20
16140218,"YES","NO",12
16258521,"NO","NO",40
16259274,"YES","NO",95
16290600,"YES","NO",10
16359566,"YES","NO",77
16365643,"NO","NO",9
16379435,"YES","NO",40
16389093,"NO","NO",22
16420272,"NO","NO",11
16434205,"NO","NO",2
16435653,"NO","NO",0
16460593,"NO","NO",43
16481115,"NO","NO",74
16538246,"NO","NO",1
16557459,"NO","NO",198
16581332,"NO","NO",6
16582985,"NO","NO",0
16590041,"YES","NO",32
16596364,"NO","NO",12
16648292,"NO","NO",0
16651537,"YES","YES",200
16658128,"NO","NO",3
16727979,"NO","NO",0
16761376,"YES","YES",67
16815627,"YES","NO",34
16818171,"NO","NO",0
16828441,"NO","NO",0
16834280,"NO","NO",81
16849009,"YES","NO",80
16882184,"NO","NO",1
16902632,"YES","NO",45
16905802,"NO","NO",22
16922349,"NO","NO",1
16938354,"NO","NO",2
16950501,"NO","NO",32
16984232,"NO","NO",59
16991257,"YES","NO",246
16998451,"NO","NO",77
17016836,"YES","YES",541
17020245,"YES","NO",40
17022919,"YES","YES",62
17029249,"YES","YES",54
17032852,"NO","NO",0
17045871,"NO","NO",0
17052718,"NO","NO",1
17062189,"NO","NO",112
17062952,"NO","NO",4
17106586,"YES","NO",29
17109370,"NO","NO",3
17111744,"NO","NO",12
17119787,"NO","NO",0
17141524,"YES","YES",15
17149456,"YES","YES",370
17185101,"NO","NO",103
17190918,"NO","NO",2
17200021,"NO","NO",17
17209358,"NO","NO",25
17219514,"YES","NO",708
17225756,"YES","NO",172
17227581,"YES","NO",15
17251870,"YES","NO",60
17281693,"NO","NO",0
17331632,"YES","NO",41
17356566,"YES","YES",522
17365476,"YES","NO",17
17371845,"NO","NO",6
17387386,"YES","NO",27
17399265,"YES","NO",106
17408941,"YES","NO",180
17458201,"YES","NO",42
17468588,"NO","NO",52
17653103,"YES","NO",41
17659875,"NO","NO",9
17707590,"NO","NO",2
17715692,"NO","NO",4
17718078,"YES","YES",12
17722782,"NO","NO",6
17756238,"YES","NO",138
17762143,"NO","NO",27
17812011,"NO","NO",1
17860495,"NO","NO",6
17870067,"YES","NO",81
17918222,"YES","NO",64
17985749,"NO","NO",2
18002359,"YES","NO",432
18020323,"NO","NO",12
18020656,"YES","NO",37
18034477,"YES","YES",143
18035541,"NO","NO",21
18039350,"NO","NO",3
18057513,"YES","NO",33
18112544,"NO","NO",5
18112902,"NO","NO",1
18134790,"NO","NO",1
18135090,"NO","NO",116
18142637,"NO","NO",9
18148790,"YES","YES",47
18161004,"NO","NO",7
18184181,"YES","NO",10
18248295,"YES","NO",52
18249768,"NO","NO",9
18250925,"NO","NO",37
18262152,"YES","YES",60
18263429,"NO","NO",6
18271602,"NO","NO",5
18276241,"NO","NO",0
18310916,"YES","NO",75
18342085,"NO","NO",0
18365096,"NO","NO",0
18367670,"YES","NO",32
18380423,"NO","NO",2
18389869,"NO","NO",1
18394236,"YES","NO",53
18409837,"NO","NO",3
18432569,"NO","NO",10
18457314,"NO","NO",66
18458249,"YES","YES",13
18469933,"NO","NO",71
18513223,"NO","NO",5
18541547,"NO","NO",6
18586771,"NO","NO",8
18591317,"YES","NO",21
18630529,"NO","NO",23
18642173,"NO","NO",0
18692958,"YES","NO",67
18716006,"NO","NO",1
18729090,"YES","NO",71
18771463,"NO","NO",1
18774545,"YES","NO",60
18801792,"NO","NO",0
18839438,"NO","NO",1
18852439,"NO","NO",5
18861777,"YES","NO",90
18880126,"NO","NO",2
18890849,"NO","NO",18
18913335,"NO","NO",13
18914598,"NO","NO",2
18945485,"NO","NO",8
18967473,"YES","NO",26
18989078,"NO","NO",297
18996827,"NO","NO",22
19062296,"NO","NO",1
19077060,"NO","NO",0
19105019,"NO","NO",33
19136132,"NO","NO",45
19162821,"NO","NO",0
19190755,"NO","NO",2
19211423,"YES","NO",139
19216520,"NO","NO",8
19250579,"NO","NO",51
19265268,"YES","YES",126
19282612,"NO","NO",0
19297161,"YES","NO",165
19332924,"NO","NO",69
19346435,"NO","NO",17
19350491,"NO","NO",2
19374863,"YES","NO",89
19392053,"NO","NO",3
19420300,"NO","NO",2
19482025,"NO","NO",2
19490617,"NO","NO",2
19502872,"NO","NO",2
19505171,"NO","NO",23
19529724,"NO","NO",26
19552986,"YES","NO",47
19561117,"NO","NO",1
19568382,"YES","NO",58
19589088,"NO","NO",0
19632293,"YES","NO",56
19694141,"YES","NO",38
19704780,"NO","NO",3
19721688,"YES","YES",3607
19733431,"NO","NO",3
19737974,"NO","NO",4
19759663,"NO","NO",8
19781581,"YES","NO",141
19820155,"YES","NO",87
19849942,"NO","NO",2
19857256,"NO","NO",8
19871413,"YES","NO",67
19886116,"NO","NO",12
19902275,"YES","YES",5661
19951511,"YES","NO",27
19975574,"NO","NO",31
20071860,"NO","NO",1
20123147,"NO","NO",1
20167605,"NO","NO",29
20183392,"YES","NO",95
20288282,"NO","NO",0
20291949,"YES","YES",1046
20294433,"NO","NO",0
20307115,"NO","NO",4
20316811,"NO","NO",10
20351108,"NO","NO",0
20381602,"YES","YES",165
20400075,"NO","NO",339
20451910,"YES","NO",175
20462098,"YES","NO",436
20463239,"YES","NO",21
20472601,"NO","NO",0
20500200,"NO","NO",14
20538002,"YES","NO",29
20544318,"NO","NO",4
20573825,"YES","NO",100
20574617,"NO","NO",1
20598458,"NO","NO",1
20600844,"YES","NO",93
20628610,"NO","NO",7
20636326,"YES","NO",28
20682908,"NO","NO",22
20704922,"YES","NO",24
20763007,"NO","NO",3
20764220,"YES","YES",87
20774070,"YES","NO",33
20774253,"YES","YES",1640
20783555,"NO","NO",0
20795090,"NO","NO",5
20816006,"YES","NO",79
20844156,"NO","NO",1
20847046,"YES","NO",141
20856808,"YES","NO",51
20880743,"YES","NO",76
20914369,"YES","NO",52
20937525,"YES","NO",272
20985531,"YES","NO",449
21010094,"YES","NO",371
21011873,"NO","NO",53
21088651,"YES","NO",106
21190561,"NO","NO",2
21200390,"NO","NO",2
21276479,"YES","YES",3009
21283746,"YES","NO",20
21352554,"NO","NO",7
21355735,"NO","NO",145
21368919,"NO","NO",9
21376470,"YES","NO",209
21384610,"YES","NO",107
21396548,"NO","NO",0
21418626,"YES","NO",41
21423919,"NO","NO",12
21489968,"NO","NO",1
21517840,"NO","NO",8
21538639,"NO","NO",10
21545461,"NO","NO",25
21552389,"YES","NO",147
21594682,"NO","NO",6
21630877,"NO","NO",15
21643947,"NO","NO",21
21647045,"YES","YES",30
21678671,"YES","NO",114
21705729,"NO","NO",8
21731513,"NO","NO",19
21731555,"NO","NO",3
21736554,"NO","NO",8
21739757,"YES","NO",185
21746918,"YES","YES",1132
21751098,"YES","NO",235
21804028,"NO","NO",4
21807810,"NO","NO",2
21887270,"NO","NO",76
21887722,"NO","NO",14
21904273,"YES","YES",127
21922321,"NO","NO",4
21952853,"NO","NO",35
22028442,"NO","NO",112
22086770,"NO","NO",1
22088652,"NO","NO",3
22109429,"NO","NO",15
22220495,"NO","NO",9
22240755,"NO","NO",13
22287670,"YES","NO",162
22312708,"NO","NO",0
22365607,"NO","NO",2
22370867,"YES","NO",206
22393998,"NO","NO",0
22402910,"NO","NO",3
22403981,"NO","NO",5
22407235,"NO","NO",1
22409267,"YES","NO",72
22435970,"YES","NO",57
22442517,"YES","NO",20
22469112,"NO","NO",8
22495820,"YES","NO",24
22504366,"YES","NO",21
22513873,"NO","NO",6
22574104,"NO","NO",2
22603279,"YES","NO",137
22640293,"NO","NO",3
22722887,"NO","NO",1
22768731,"NO","NO",20
22776865,"NO","NO",1
22783811,"NO","NO",2
22848517,"YES","NO",26
22923798,"NO","NO",190
22930761,"YES","YES",1459
22965058,"NO","NO",1
23003911,"YES","NO",123
23012000,"YES","YES",261
23029916,"NO","NO",4
23078285,"YES","YES",581
23097167,"YES","NO",17
23113347,"YES","NO",96
23144316,"NO","NO",15
23144554,"NO","NO",6
23174210,"YES","NO",38
23179586,"YES","NO",17
23199432,"YES","NO",67
23232842,"NO","NO",5
23237889,"NO","NO",20
23254931,"NO","NO",10
23263326,"YES","NO",105
23278194,"NO","NO",14
23337809,"YES","NO",27
23408193,"YES","YES",39
23425821,"NO","NO",4
23430611,"NO","NO",4
23449435,"YES","YES",465
23467990,"YES","NO",43
23486750,"NO","NO",0
23510026,"YES","NO",200
23518281,"NO","NO",0
23595159,"NO","NO",50
23634837,"NO","NO",0
23650560,"YES","NO",74
