"","name","M","F","percent_female"
"102","Aalani",0,122,1
"103","Aalap",6,0,0
"104","Aalasia",0,5,1
"105","Aalaya",0,165,1
"106","Aalayah",0,925,1
"107","Aalayiah",0,20,1
"108","Aalayjah",0,6,1
"109","Aalayna",0,40,1
"110","Aalaysha",0,17,1
"111","Aalaysia",0,147,1
"112","Aalea",0,7,1
"113","Aaleah",0,299,1
"114","Aaleahya",0,20,1
"115","Aaleayah",0,5,1
"116","Aaleena",0,5,1
"117","Aaleeya",0,5,1
"118","Aaleeyah",0,128,1
"119","Aaleiah",0,6,1
"120","Aaleigha",0,171,1
"121","Aaleiya",0,29,1
"122","Aaleiyah",0,48,1
"123","Aalena",0,5,1
"124","Aalexis",0,20,1
"125","Aalexus",0,6,1
"126","Aaleya",0,16,1
"127","Aaleyah",0,1250,1
"128","Aali",6,0,0
"129","Aalia",0,542,1
"130","Aaliah",0,936,1
"131","Aaliana",0,23,1
"132","Aalias",5,0,0
"133","Aaliayah",0,124,1
"134","Aaliayh",0,47,1
"135","Aalicia",0,5,1
"136","Aalieyah",0,5,1
"137","Aaliha",0,12,1
"138","Aalijah",235,149,0.388020833333333
"139","Aalilah",0,5,1
"140","Aalim",34,0,0
"141","Aalimah",0,11,1
"142","Aalin",0,5,1
"143","Aalina",0,79,1
"144","Aalinah",0,6,1
"145","Aalisa",0,5,1
"146","Aalisha",0,35,1
"147","Aalivia",0,62,1
"148","Aaliya",0,1283,1
"149","Aaliyaa",0,5,1
"150","Aaliyah",101,91136,0.998892992974342
"151","Aaliyaha",0,21,1
"152","Aaliyahmarie",0,44,1
"153","Aaliyahrose",0,34,1
"154","Aaliyan",15,115,0.884615384615385
"155","Aaliyana",0,113,1
"156","Aaliyanna",0,11,1
"157","Aaliyha",0,438,1
"158","Aaliyiah",0,41,1
"159","Aalliyah",0,164,1
"160","Aallyah",0,5,1
"161","Aalok",10,0,0
"162","Aalon",5,0,0
"163","Aaloni",0,5,1
"164","Aalya",0,53,1
"165","Aalyah",0,657,1
"166","Aalycia",0,25,1
"167","Aalyha",0,19,1
"168","Aalyia",0,5,1
"169","Aalyiah",0,764,1
"170","Aalyna",0,5,1
"171","Aalysia",0,6,1
"172","Aalyssa",0,115,1
"173","Aalyvia",0,5,1
"174","Aamanda",0,10,1
"175","Aamanee",0,16,1
"176","Aamani",0,193,1
"177","Aamar",5,0,0
"178","Aamari",136,86,0.387387387387387
"179","Aamarion",10,0,0
"180","Aamaya",0,15,1
"181","Aamber",0,14,1
"182","Aamena",0,10,1
"183","Aamer",41,0,0
"184","Aamia",0,22,1
"185","Aamil",28,0,0
"186","Aamilah",0,90,1
"187","Aamina",0,332,1
"188","Aaminah",0,428,1
"189","Aamir",2081,6,0.00287494010541447
"190","Aamira",0,352,1
"191","Aamirah",0,212,1
"192","Aamiya",0,62,1
"193","Aamiyah",0,430,1
"194","Aamna",0,227,1
"195","Aamoni",0,15,1
"196","Aamora",0,11,1
"197","Aamorah",0,5,1
"198","Aamori",0,101,1
"199","Aamya",0,121,1
"200","Aamyah",0,57,1
"201","Aana",0,23,1
"202","Aanand",10,0,0
"203","Aanav",65,0,0
"204","Aanay",28,0,0
"205","Aanaya",0,75,1
"206","Aanchal",0,72,1
"207","Aania",0,56,1
"208","Aaniah",0,33,1
"209","Aanijah",0,5,1
"210","Aanik",6,0,0
"211","Aanika",0,310,1
"212","Aanisah",0,39,1
"213","Aaniya",0,334,1
"214","Aaniyah",0,1236,1
"215","Aaniylah",0,11,1
"216","Aansh",31,0,0
"217","Aanshi",0,101,1
"218","Aanvi",0,320,1
"219","Aanya",0,2826,1
"220","Aanyah",0,78,1
"221","Aanyla",0,7,1
"222","Aapri",0,5,1
"223","Aaqib",33,0,0
"224","Aaqil",53,0,0
"225","Aara",0,134,1
"226","Aarabella",0,22,1
"227","Aarabhi",0,11,1
"228","Aaradhana",0,68,1
"229","Aaradhy",5,0,0
"230","Aaradhya",0,648,1
"231","Aaraf",22,0,0
"232","Aaraiz",6,0,0
"233","Aaral",0,6,1
"234","Aaralyn",0,1250,1
"235","Aaralynn",0,284,1
"236","Aaran",211,0,0
"237","Aaranya",0,5,1
"238","Aaraon",5,0,0
"239","Aaratrika",0,5,1
"240","Aarav",5763,0,0
"241","Aaravi",0,41,1
"242","Aaravreddy",6,0,0
"243","Aaraya",0,5,1
"244","Aaren",843,282,0.250666666666667
"245","Aareon",33,10,0.232558139534884
"246","Aareona",0,7,1
"247","Aari",17,9,0.346153846153846
"248","Aaria",0,440,1
"249","Aariah",0,295,1
"250","Aarian",140,64,0.313725490196078
"251","Aariana",0,447,1
"252","Aarianna",0,207,1
"253","Aarib",82,0,0
"254","Aaric",518,0,0
"255","Aarica",0,95,1
"256","Aarick",28,0,0
"257","Aarie",0,10,1
"258","Aariel",0,213,1
"259","Aariella",0,5,1
"260","Aarielle",0,49,1
"261","Aarien",7,0,0
"262","Aarik",182,0,0
"263","Aarika",0,801,1
"264","Aariketh",6,0,0
"265","Aarilyn",0,112,1
"266","Aarilynn",0,15,1
"267","Aarin",646,302,0.318565400843882
"268","Aarini",0,105,1
"269","Aarion",492,146,0.22884012539185
"270","Aariona",0,248,1
"271","Aarionna",0,142,1
"272","Aaris",57,54,0.486486486486487
"273","Aarish",232,0,0
"274","Aarit",120,0,0
"275","Aariv",354,0,0
"276","Aariya",0,167,1
"277","Aariyah",0,581,1
"278","Aariyan",14,0,0
"279","Aariyana",0,97,1
"280","Aariyanna",0,14,1
"281","Aariyona",0,5,1
"282","Aariyonna",0,5,1
"283","Aariz",727,0,0
"284","Aarjav",33,0,0
"285","Aarn",17,0,0
"286","Aarna",0,1631,1
"287","Aarnav",483,0,0
"288","Aarnavi",0,60,1
"289","Aarne",10,0,0
"290","Aarnika",0,12,1
"291","Aaro",81,0,0
"292","Aaroh",5,0,0
"293","Aarohan",24,0,0
"294","Aarohi",0,659,1
"295","Aarolyn",0,11,1
"296","Aaron",586938,4328,0.00731988648087325
"297","Aarona",0,5,1
"298","Aaronae",0,5,1
"299","Aaronda",0,5,1
"300","Aaronette",0,11,1
"301","Aaronisha",0,6,1
"302","Aaronjacob",5,0,0
"303","Aaronjames",100,0,0
"304","Aaronjohn",21,0,0
"305","Aaronjoseph",7,0,0
"306","Aaronjosh",5,0,0
"307","Aaronjoshua",10,0,0
"308","Aaronlee",5,0,0
"309","Aaronmichael",74,0,0
"310","Aaronn",22,0,0
"311","Aaroosh",6,0,0
"312","Aarren",5,0,0
"313","Aarron",1235,0,0
"314","Aarsh",70,0,0
"315","Aarshi",0,32,1
"316","Aarshiya",0,5,1
"317","Aarthi",0,104,1
"318","Aarti",0,437,1
"319","Aaruhi",0,38,1
"320","Aarunya",0,13,1
"321","Aarush",2395,0,0
"322","Aarushi",0,749,1
"323","Aarushreddy",9,0,0
"324","Aarvi",0,218,1
"325","Aarvik",13,0,0
"326","Aarvika",0,9,1
"327","Aarvin",16,0,0
"328","Aary",5,0,0
"329","Aarya",328,1921,0.854157403290351
"330","Aaryah",0,69,1
"331","Aaryahi",0,47,1
"332","Aaryan",1604,6,0.00372670807453416
"333","Aaryana",0,132,1
"334","Aaryanna",0,206,1
"335","Aaryansh",7,0,0
"336","Aaryash",14,0,0
"337","Aaryav",168,0,0
"338","Aaryn",704,1218,0.633714880332987
"339","Aarynn",0,5,1
"340","Aaryon",15,0,0
"341","Aaryona",0,10,1
"342","Aarza",0,19,1
"343","Aaseem",5,0,0
"344","Aaser",12,0,0
"345","Aasha",0,321,1
"346","Aashana",0,5,1
"347","Aashay",31,0,0
"348","Aasher",5,0,0
"349","Aashi",0,624,1
"350","Aashia",0,6,1
"351","Aashika",0,99,1
"352","Aashini",0,5,1
"353","Aashir",144,0,0
"354","Aashirya",0,48,1
"355","Aashish",137,0,0
"356","Aashita",0,6,1
"357","Aashiyana",0,12,1
"358","Aashka",0,159,1
"359","Aashman",5,0,0
"360","Aashna",0,655,1
"361","Aashni",0,52,1
"362","Aashray",14,0,0
"363","Aashrita",0,57,1
"364","Aashrith",141,0,0
"365","Aashritha",0,158,1
"366","Aashriya",0,19,1
"367","Aashvi",0,431,1
"368","Aashvik",7,0,0
"369","Aasia",0,225,1
"370","Aasiah",7,0,0
"371","Aasim",392,0,0
"372","Aasin",52,0,0
"373","Aasir",189,0,0
"374","Aasiya",0,197,1
"375","Aasiyah",0,505,1
"376","Aason",64,0,0
"377","Aastha",0,266,1
"378","Aathan",5,0,0
"379","Aathira",0,5,1
"380","Aatif",10,0,0
"381","Aatikah",0,5,1
"382","Aatish",16,0,0
"383","Aava",0,121,1
"384","Aavah",0,58,1
"385","Aavan",19,0,0
"386","Aavani",0,6,1
"387","Aavash",19,0,0
"388","Aaven",42,0,0
"389","Aavi",17,0,0
"390","Aavin",35,0,0
"391","Aavion",26,0,0
"392","Aavir",25,0,0
"393","Aavish",11,0,0
"394","Aavya",0,344,1
"395","Aavyan",26,0,0
"396","Aavyn",6,5,0.454545454545455
"397","Aaya",0,50,1
"398","Aayaan",56,0,0
"399","Aayah",0,42,1
"400","Aayam",41,0,0
"401","Aayan",1753,0,0
"402","Aayana",0,127,1
"403","Aayanah",0,10,1
"404","Aayanna",0,38,1
"405","Aayansh",257,0,0
"406","Aayat",0,197,1
"407","Aaydan",11,0,0
"408","Aayden",1577,5,0.00316055625790139
"409","Aayla",0,479,1
"410","Aaylah",0,93,1
"411","Aayliah",0,91,1
"412","Aayon",5,0,0
"413","Aayra",0,100,1
"414","Aayu",6,0,0
"415","Aayush",1268,0,0
"416","Aayusha",0,11,1
"417","Aayushi",0,245,1
"418","Aazan",5,0,0
"419","Aazeen",0,12,1
"420","Aazil",6,0,0
"421","Aazim",29,0,0
"422","Aaziyah",0,28,1
"423","Ab",362,0,0
"424","Aba",5,27,0.84375
"425","Abaan",51,0,0
"426","Abaas",6,0,0
"427","Abad",87,0,0
"428","Abagael",0,210,1
"429","Abagail",0,5720,1
"430","Abagaile",0,15,1
"431","Abagale",0,374,1
"432","Abagayle",0,346,1
"433","Abaigael",0,19,1
"434","Abaigail",0,10,1
"435","Abaigeal",0,330,1
"436","Aban",39,0,0
"437","Abanoub",162,0,0
"438","Abas",82,0,0
"439","Abasi",40,0,0
"440","Abass",97,0,0
"441","Abayomi",221,0,0
"442","Abb",96,0,0
"443","Abba",52,6,0.103448275862069
"444","Abbaas",5,0,0
"445","Abbagail",0,853,1
"446","Abbagale",0,139,1
"447","Abbagayle",0,112,1
"448","Abbas",1436,0,0
"449","Abbe",0,1325,1
"450","Abbee",0,163,1
"451","Abbegail",0,246,1
"452","Abbegale",0,82,1
"453","Abbegayle",0,73,1
"454","Abbey",35,17287,0.997979448100681
"455","Abbeygail",0,66,1
"456","Abbeygale",0,22,1
"457","Abbi",0,2028,1
"458","Abbie",330,21605,0.984955550490084
"459","Abbiegail",0,249,1
"460","Abbiegale",0,58,1
"461","Abbiegayle",0,18,1
"462","Abbigael",0,162,1
"463","Abbigail",5,11776,0.999575587810882
"464","Abbigaile",0,91,1
"465","Abbigal",0,158,1
"466","Abbigale",0,2155,1
"467","Abbigayl",0,29,1
"468","Abbigayle",0,1312,1
"469","Abbilyn",0,12,1
"470","Abbot",28,0,0
"471","Abbott",1095,24,0.0214477211796247
"472","Abbra",0,36,1
"473","Abbrianna",0,5,1
"474","Abbriella",0,31,1
"475","Abbrielle",0,83,1
"476","Abby",181,58865,0.996934593367883
"477","Abbye",0,184,1
"478","Abbygael",0,70,1
"479","Abbygail",0,3470,1
"480","Abbygaile",0,47,1
"481","Abbygale",0,797,1
"482","Abbygayl",0,6,1
"483","Abbygayle",0,451,1
"484","Abbylynn",0,18,1
"485","Abcde",0,394,1
"486","Abd",17,0,0
"487","Abdala",6,0,0
"488","Abdalah",6,0,0
"489","Abdalla",322,0,0
"490","Abdallah",1376,0,0
"491","Abdalrahman",191,0,0
"492","Abdalrhman",5,0,0
"493","Abdel",667,0,0
"494","Abdelaziz",111,0,0
"495","Abdelhadi",5,0,0
"496","Abdelhamid",5,0,0
"497","Abdelkader",5,0,0
"498","Abdelkareem",15,0,0
"499","Abdelkarim",32,0,0
"500","Abdellah",24,0,0
"501","Abdelrahman",595,0,0
"502","Abdelrhman",6,0,0
"503","Abderrahman",5,0,0
"504","Abdi",288,10,0.0335570469798658
"505","Abdia",0,5,1
"506","Abdias",692,0,0
"507","Abdiasis",6,0,0
"508","Abdiaziz",171,0,0
"509","Abdiel",5161,0,0
"510","Abdifatah",245,0,0
"511","Abdihafid",28,0,0
"512","Abdihakim",57,0,0
"513","Abdihamid",10,0,0
"514","Abdikadir",163,0,0
"515","Abdikarim",33,0,0
"516","Abdikhaliq",5,0,0
"517","Abdilahi",10,0,0
"518","Abdimalik",236,0,0
"519","Abdinajib",5,0,0
"520","Abdinasir",184,0,0
"521","Abdiqani",27,0,0
"522","Abdirahim",90,0,0
"523","Abdirahin",6,0,0
"524","Abdirahman",1842,0,0
"525","Abdirashid",40,0,0
"526","Abdirisaq",12,0,0
"527","Abdirizak",87,0,0
"528","Abdirizaq",5,0,0
"529","Abdisalam",5,0,0
"530","Abdisalan",11,0,0
"531","Abdisamad",23,0,0
"532","Abdishakur",69,0,0
"533","Abdiwahab",19,0,0
"534","Abdiwali",5,0,0
"535","Abdo",74,0,0
"536","Abdon",359,0,0
"537","Abdou",241,0,0
"538","Abdoul",466,0,0
"539","Abdoulaye",737,0,0
"540","Abdoulaziz",10,0,0
"541","Abdoulie",120,0,0
"542","Abdourahman",11,0,0
"543","Abdourahmane",23,0,0
"544","Abdrahman",15,0,0
"545","Abdrew",6,0,0
"546","Abdriel",14,0,0
"547","Abdu",32,0,0
"548","Abdual",17,0,0
"549","Abduallah",32,0,0
"550","Abduel",5,0,0
"551","Abdul",5954,0,0
"552","Abdula",39,0,0
"553","Abdulah",75,0,0
"554","Abdulahad",96,0,0
"555","Abdulahi",446,0,0
"556","Abdulai",83,0,0
"557","Abdulaye",5,0,0
"558","Abdulazeem",5,0,0
"559","Abdulazeez",30,0,0
"560","Abdulazim",5,0,0
"561","Abdulaziz",1407,0,0
"562","Abdulbari",5,0,0
"563","Abdulbasit",25,0,0
"564","Abdule",6,0,0
"565","Abdulelah",44,0,0
"566","Abdulghani",11,0,0
"567","Abdulhaadi",5,0,0
"568","Abdulhadi",151,0,0
"569","Abdulhakeem",45,0,0
"570","Abdulhakim",23,0,0
"571","Abdulhalim",5,0,0
"572","Abdulhameed",16,0,0
"573","Abdulhamid",85,0,0
"574","Abduljabbar",32,0,0
"575","Abduljaleel",5,0,0
"576","Abduljalil",5,0,0
"577","Abdulkadir",139,0,0
"578","Abdulkareem",202,0,0
"579","Abdulkarim",165,0,0
"580","Abdulkhaliq",18,0,0
"581","Abdull",5,0,0
"582","Abdulla",455,0,0
"583","Abdullah",7556,0,0
"584","Abdullahi",1504,0,0
"585","Abdullatif",49,0,0
"586","Abdulloh",83,0,0
"587","Abdulmajeed",42,0,0
"588","Abdulmajid",21,0,0
"589","Abdulmalek",5,0,0
"590","Abdulmalik",474,0,0
"591","Abdulmannan",5,0,0
"592","Abdulmohsen",21,0,0
"593","Abdulnasir",5,0,0
"594","Abdulqadir",45,0,0
"595","Abdulraheem",129,0,0
"596","Abdulrahim",106,0,0
"597","Abdulrahman",2381,0,0
"598","Abdulrazaq",5,0,0
"599","Abdulrehman",55,0,0
"600","Abdulrhman",28,0,0
"601","Abdulsalam",58,0,0
"602","Abdulsamad",35,0,0
"603","Abdulwadud",5,0,0
"604","Abdulwahab",167,0,0
"605","Abdulwahid",18,0,0
"606","Abdulwali",11,0,0
"607","Abdur",278,0,0
"608","Abdurahim",5,0,0
"609","Abdurahman",375,0,0
"610","Abdurahmon",5,0,0
"611","Abdurraheem",33,0,0
"612","Abdurrahim",27,0,0
"613","Abdurrahmaan",5,0,0
"614","Abdurrahman",829,0,0
"615","Abdurrehman",36,0,0
"616","Abdussamad",6,0,0
"617","Abe",9323,0,0
"618","Abeal",5,0,0
"619","Abed",199,0,0
"620","Abedallah",16,0,0
"621","Abedalrahman",11,0,0
"622","Abednego",76,0,0
"623","Abeeha",0,128,1
"624","Abeer",87,550,0.863422291993721
"625","Abeera",0,73,1
"626","Abegail",0,514,1
"627","Abegale",0,5,1
"628","Abegayle",0,23,1
"629","Abel",55290,124,0.00223770166383946
"630","Abela",0,22,1
"631","Abelardo",4513,0,0
"632","Abelina",0,528,1
"633","Abelino",847,0,0
"634","Abell",24,5,0.172413793103448
"635","Abella",0,867,1
"636","Abem",80,0,0
"637","Aben",28,0,0
"638","Abena",0,599,1
"639","Abenezer",185,0,0
"640","Abeni",0,365,1
"641","Aber",0,5,1
"642","Aberdeen",0,188,1
"643","Aberham",25,0,0
"644","Abernathy",0,33,1
"645","Abert",15,0,0
"646","Abery",0,7,1
"647","Abey",10,17,0.62962962962963
"648","Abgail",0,29,1
"649","Abha",0,57,1
"650","Abhay",732,0,0
"651","Abhaya",0,7,1
"652","Abheek",7,0,0
"653","Abhi",259,0,0
"654","Abhigna",0,48,1
"655","Abhijay",100,0,0
"656","Abhijeet",45,0,0
"657","Abhijit",42,0,0
"658","Abhijot",58,0,0
"659","Abhik",26,0,0
"660","Abhilash",22,0,0
"661","Abhimanyu",213,0,0
"662","Abhinav",1836,0,0
"663","Abhinay",5,0,0
"664","Abhinaya",0,5,1
"665","Abhir",5,0,0
"666","Abhiraam",6,0,0
"667","Abhiraj",85,0,0
"668","Abhiram",998,0,0
"669","Abhirami",0,5,1
"670","Abhirup",10,0,0
"671","Abhishek",758,0,0
"672","Abhyuday",10,0,0
"673","Abi",22,542,0.960992907801418
"674","Abia",0,103,1
"675","Abiageal",0,145,1
"676","Abiah",5,59,0.921875
"677","Abian",20,0,0
"678","Abianna",0,10,1
"679","Abibail",0,6,1
"680","Abid",348,0,0
"681","Abida",0,44,1
"682","Abidah",0,5,1
"683","Abidan",16,0,0
"684","Abie",666,67,0.0914051841746248
"685","Abiegail",0,15,1
"686","Abiel",1235,28,0.0221694378463975
"687","Abiela",0,20,1
"688","Abiella",0,16,1
"689","Abiezer",12,0,0
"690","Abigael",5,1751,0.997152619589977
"691","Abigaelle",0,181,1
"692","Abigahil",0,42,1
"693","Abigai",0,12,1
"694","Abigail",652,375558,0.998266925387417
"695","Abigaile",0,592,1
"696","Abigailgrace",0,18,1
"697","Abigaille",0,27,1
"698","Abigailmarie",0,11,1
"699","Abigailrose",0,25,1
"700","Abigal",0,774,1
"701","Abigale",0,5658,1
"702","Abigayil",0,21,1
"703","Abigayl",0,345,1
"704","Abigayle",5,5997,0.999166944351883
"705","Abigeal",0,22,1
"706","Abigel",0,31,1
"707","Abigial",0,172,1
"708","Abiha",0,141,1
"709","Abihail",0,29,1
"710","Abijah",287,64,0.182336182336182
"711","Abilene",0,1207,1
"712","Abilgail",0,28,1
"713","Abilio",5,0,0
"714","Abilyn",0,5,1
"715","Abilynn",0,6,1
"716","Abimael",1213,0,0
"717","Abimbola",5,80,0.941176470588235
"718","Abimelec",75,0,0
"719","Abin",10,0,0
"720","Abinadab",5,0,0
"721","Abinadi",22,0,0
"722","Abinav",44,0,0
"723","Abinaya",0,58,1
"724","Abiodun",18,0,0
"725","Abiola",44,171,0.795348837209302
"726","Abiona",0,19,1
"727","Abir",416,97,0.189083820662768
"728","Abira",0,27,1
"729","Abiram",12,0,0
"730","Abirami",0,36,1
"731","Abisag",0,16,1
"732","Abisai",912,83,0.0834170854271357
"733","Abisaid",5,0,0
"734","Abish",0,24,1
"735","Abisha",0,58,1
"736","Abishai",217,26,0.106995884773663
"737","Abishek",50,0,0
"738","Abisola",0,111,1
"739","Abiud",6,0,0
"740","Abiy",9,0,0
"741","Abiya",0,5,1
"742","Abiyah",5,12,0.705882352941177
"743","Abla",0,11,1
"744","Ablakat",0,22,1
"745","Able",968,0,0
"746","Abnel",6,0,0
"747","Abner",8030,0,0
"748","Abney",5,10,0.666666666666667
"749","Abniel",5,0,0
"750","Abony",0,43,1
"751","Abou",75,0,0
"752","Aboubacar",363,0,0
"753","Aboubakar",44,0,0
"754","Abra",0,938,1
"755","Abraam",52,0,0
"756","Abraar",12,0,0
"757","Abrah",0,41,1
"758","Abraham",93112,208,0.00222888984140591
"759","Abrahan",980,0,0
"760","Abraheem",22,0,0
"761","Abrahem",41,0,0
"762","Abrahim",612,0,0
"763","Abrahm",735,0,0
"764","Abram",17707,0,0
"765","Abran",2031,0,0
"766","Abranda",0,5,1
"767","Abrar",421,432,0.506447831184056
"768","Abraxas",24,5,0.172413793103448
"769","Abraya",0,5,1
"770","Abrea",0,189,1
"771","Abreana",0,44,1
"772","Abreanna",0,261,1
"773","Abree",0,607,1
"774","Abreia",0,6,1
"775","Abrem",5,0,0
"776","Abren",11,0,0
"777","Abreona",0,6,1
"778","Abreonna",0,15,1
"779","Abrey",0,148,1
"780","Abreya",0,5,1
"781","Abrham",131,0,0
"782","Abri",0,217,1
"783","Abria",0,855,1
"784","Abriah",0,35,1
"785","Abrial",0,121,1
"786","Abriam",5,0,0
"787","Abrian",330,5,0.0149253731343284
"788","Abriana",0,2460,1
"789","Abrianna",0,4086,1
"790","Abriannah",0,15,1
"791","Abrianne",0,15,1
"792","Abrie",0,294,1
"793","Abriel",441,643,0.593173431734317
"794","Abriela",0,56,1
"795","Abriele",0,5,1
"796","Abriella",0,1535,1
"797","Abrielle",0,3982,1
"798","Abrien",27,0,0
"799","Abrienne",0,27,1
"800","Abrigail",0,26,1
"801","Abrihet",0,5,1
"802","Abril",5,8062,0.999380190901202
"803","Abrille",0,10,1
"804","Abrina",0,171,1
"805","Abrion",11,0,0
"806","Abriona",0,20,1
"807","Abrionna",0,54,1
"808","Abrish",0,82,1
"809","Abriya",0,29,1
"810","Abriyah",0,11,1
"811","Abriyana",0,6,1
"812","Abrom",6,0,0
"813","Abron",259,0,0
"814","Abrum",65,0,0
"815","Abry",0,13,1
"816","Abryana",0,182,1
"817","Abryanna",0,270,1
"818","Abryella",0,17,1
"819","Abryelle",0,32,1
"820","Abryl",0,14,1
"821","Absalat",0,54,1
"822","Absalom",173,0,0
"823","Absalon",33,0,0
"824","Abshir",76,0,0
"825","Absidy",0,17,1
"826","Abtin",6,0,0
"827","Abu",408,0,0
"828","Abubacar",14,0,0
"829","Abubacarr",20,0,0
"830","Abubakar",684,0,0
"831","Abubakarr",47,0,0
"832","Abubakary",10,0,0
"833","Abubaker",37,0,0
"834","Abubakr",450,0,0
"835","Abuk",0,59,1
"836","Abukar",33,0,0
"837","Abundio",203,0,0
"838","Aby",56,227,0.802120141342756
"839","Abyade",0,10,1
"840","Abyan",129,38,0.227544910179641
"841","Abygael",0,49,1
"842","Abygail",0,2690,1
"843","Abygaile",0,13,1
"844","Abygale",0,348,1
"845","Abygayle",0,147,1
"846","Abyssinia",0,29,1
"847","Ac",119,0,0
"848","Acacia",0,3895,1
"849","Acacius",6,0,0
"850","Acadia",0,897,1
"851","Acai",10,0,0
"852","Acamas",11,0,0
"853","Acari",38,11,0.224489795918367
"854","Acasia",0,120,1
"855","Accacia",0,26,1
"856","Accalia",0,98,1
"857","Access",6,0,0
"858","Accie",5,0,0
"859","Accursio",5,0,0
"860","Ace",12659,53,0.00416928886091882
"861","Acea",77,5,0.0609756097560976
"862","Acein",5,0,0
"863","Aceion",30,0,0
"864","Acel",73,0,0
"865","Acelee",0,5,1
"866","Acelia",0,9,1
"867","Acelin",123,19,0.133802816901408
"868","Acelino",7,0,0
"869","Acelyn",29,485,0.943579766536965
"870","Acelynn",0,837,1
"871","Acen",433,0,0
"872","Acencion",27,0,0
"873","Aceon",53,0,0
"874","Acer",50,0,0
"875","Acesen",18,0,0
"876","Aceson",340,0,0
"877","Aceston",19,0,0
"878","Acesyn",50,0,0
"879","Aceton",90,0,0
"880","Acetyn",6,0,0
"881","Acey",416,23,0.0523917995444191
"882","Aceyn",159,0,0
"883","Aceyon",5,0,0
"884","Achai",6,0,0
"885","Achaia",0,62,1
"886","Achaius",5,0,0
"887","Achan",0,5,1
"888","Achante",0,35,1
"889","Achanti",0,5,1
"890","Achary",32,0,0
"891","Achazia",0,6,1
"892","Achel",0,39,1
"893","Acheron",63,0,0
"894","Achille",370,0,0
"895","Achilleas",5,0,0
"896","Achilles",2785,0,0
"897","Achilleus",33,0,0
"898","Achillies",88,0,0
"899","Achim",5,0,0
"900","Achintya",43,0,0
"901","Achol",0,72,1
"902","Achraf",10,0,0
"903","Achsa",0,12,1
"904","Achsah",0,81,1
"905","Achyut",58,0,0
"906","Achyuth",43,0,0
"907","Acia",0,6,1
"908","Aciano",5,0,0
"909","Acie",2049,50,0.0238208670795617
"910","Aciel",7,0,0
"911","Acil",12,0,0
"912","Acire",5,71,0.934210526315789
"913","Ackeem",32,0,0
